x,Curve3
-0.00068,-1.0621
0.0041,0.09013
0.00927,0.47634
0.01767,0.84672
0.02613,1.081
0.03786,1.21083
0.05178,1.27419
0.0732,1.31859
0.09787,1.32819
0.13755,1.32518
0.19548,1.32225
0.23838,1.31609
0.29308,1.31631
0.34027,1.31966
0.39497,1.32621
0.44752,1.34541
0.49685,1.3646
0.52259,1.36787
0.53762,1.32678
0.5441,1.23817
0.55598,1.07678
0.56678,0.93438
0.57755,0.83313
0.60123,0.67179
0.61951,0.58956
0.64314,0.51685
0.67213,0.45366
0.71507,0.37469
0.74406,0.321
0.79452,0.22623
0.84067,0.15361
0.89005,0.07784
0.9362,0.02105
0.9802,-0.02942
1.00059,-0.05467
