x,Curve1
0.00079,-1.03194
0.00714,0.25838
0.00942,-0.86152
0.01088,0.66414
0.02328,1.13482
0.03289,1.28495
0.03346,-0.56531
0.04058,1.36204
0.05118,1.41885
0.05368,-0.39895
0.06181,1.38639
0.07582,-0.18796
0.07822,1.3945
0.1009,-0.1555
0.10426,1.45131
0.12596,-0.04594
0.12646,1.45942
0.15928,1.44725
0.16068,0.04738
0.17612,0.07984
0.17665,1.45537
0.20175,1.45942
0.20313,0.12853
0.22685,1.44725
0.25002,1.43914
0.25137,0.19751
0.27608,1.42696
0.30118,1.43914
0.30252,0.23809
0.32434,1.44319
0.34982,0.22997
0.35041,1.41479
0.37554,1.32147
0.40164,1.2038
0.40291,0.20157
0.42484,1.0983
0.44926,0.14476
0.44996,1.00092
0.47702,0.91165
0.50022,0.79398
0.50045,0.06767
0.52438,0.70877
0.54873,0.00275
0.55045,0.66819
0.57459,0.63168
0.60164,0.58298
0.60185,-0.09058
0.62385,0.55052
0.66054,0.49777
0.66075,-0.17173
0.67503,0.46937
0.69917,0.43691
0.69938,-0.22853
0.72525,0.39634
0.74863,-0.29346
0.75035,0.36387
0.7996,0.29084
0.80077,-0.34215
0.84885,0.22592
0.84903,-0.35432
0.90018,-0.32592
0.901,0.15288
0.9243,-0.2894
0.95024,0.10013
0.95035,-0.23259
0.99755,0.06361
