x,Curve2
0.00168,-0.16003
0.00217,1.06745
0.00499,-0.52192
0.01061,-0.83002
0.01512,-1.05497
0.02768,-1.27504
0.04143,-1.38263
0.0575,-1.43642
0.06784,-1.44621
0.07244,-1.42175
0.07474,-1.43153
0.0782,-1.40708
0.08622,-1.46088
0.09313,-1.43642
0.10232,-1.45599
0.1437,-1.45599
0.18852,-1.46088
0.24715,-1.4511
0.29657,-1.45599
0.3253,-1.45599
0.34485,-1.4511
0.35751,-1.40708
0.37133,-1.34351
0.40125,-1.23592
0.43922,-1.13811
0.47835,-1.03541
0.51517,-0.92782
0.53358,-0.86914
0.54395,-0.82024
0.56123,-0.72732
0.57735,-0.64907
0.60266,-0.59039
0.66592,-0.49258
0.72342,-0.39966
0.77863,-0.32631
0.83268,-0.25295
0.89017,-0.19916
0.93731,-0.16492
0.96951,-0.13069
0.9994,-0.10624
