x,Curve1
0.00097,0.011883
0.12251,0.011883
0.13089,0.011054
0.13611,0.014646
0.14338,0.02487
0.15579,0.049741
0.16406,0.065492
0.17652,0.084007
0.18901,0.096718
0.20255,0.107772
0.22135,0.116891
0.24434,0.12601
0.26735,0.132919
0.29036,0.138722
0.31862,0.142867
0.34166,0.144525
0.35947,0.144249
0.38045,0.140933
0.39516,0.135406
0.40673,0.127668
0.41412,0.119655
0.41942,0.109983
0.42789,0.096718
0.43423,0.087599
0.44268,0.077375
0.45428,0.066874
0.4711,0.057755
0.48685,0.052781
0.51412,0.048636
0.54348,0.04532
0.55501,0.044491
0.57388,0.04228
0.5896,0.041174
0.60428,0.040345
0.61476,0.039793
0.62839,0.037858
0.65879,0.035924
0.67136,0.035371
0.68919,0.033713
0.69966,0.03399
0.71224,0.032608
0.73005,0.03399
0.76043,0.034542
0.79394,0.036753
0.82536,0.038411
0.84107,0.039793
0.87352,0.043661
0.89969,0.046701
