x,Curve1
0.000977,1.14586
0.004898,0.96312
0.011794,0.73977
0.025685,0.55697
0.041569,0.37415
0.06842,0.18788
0.093306,0.08283
0.116206,-0.00191
0.157042,-0.11384
0.189922,-0.17159
0.224799,-0.22257
0.265661,-0.26345
0.318497,-0.27734
0.362376,-0.25057
0.412246,-0.19677
0.444168,-0.14962
0.486062,-0.09577
0.53794,-0.00477
0.588815,0.06932
0.642687,0.16031
0.697552,0.24114
0.74543,0.29834
0.794299,0.34199
0.835184,0.36202
0.87307,0.36176
0.908951,0.33107
0.937851,0.29365
0.969731,0.22915
0.986657,0.16475
0.996607,0.11055
0.998578,0.04963
