x,Curve2
0.00122,1.14342
0.00658,-0.12976
0.00909,-0.4046
0.01278,-0.62285
0.01771,-0.92598
0.02497,-1.09571
0.04063,-1.28966
0.05023,-1.35025
0.07181,-1.39866
0.08979,-1.42284
0.11254,-1.41871
0.13529,-1.41053
0.18678,-1.3982
0.24666,-1.39796
0.31253,-1.39769
0.32091,-1.38957
0.33765,-1.33696
0.36755,-1.23175
0.41061,-1.1184
0.44171,-1.03339
0.46563,-0.95246
0.48954,-0.86344
0.51106,-0.77847
0.523,-0.70163
0.54092,-0.61263
0.55408,-0.57216
0.58041,-0.52355
0.62469,-0.46274
0.66898,-0.41406
0.71566,-0.36537
0.77911,-0.30449
0.85334,-0.25972
0.90244,-0.2474
0.94795,-0.24317
0.9683,-0.22288
0.98146,-0.20262
0.99224,-0.2147
0.99944,-0.23892
