x,Curve1
0.00235,0.026877
0.02643,0.020786
0.07938,0.019006
0.14918,0.018079
0.20453,0.018898
0.25387,0.020589
0.31404,0.020537
0.32242,0.042206
0.32835,0.086421
0.33427,0.13497
0.3414,0.176583
0.35333,0.227728
0.37009,0.275402
0.38567,0.306602
0.40006,0.329133
0.41926,0.356862
0.44088,0.377652
0.46132,0.388039
0.47576,0.38716
0.4866,0.381081
0.49625,0.371535
0.50711,0.356786
0.51195,0.339441
0.51801,0.317759
0.52408,0.292609
0.52774,0.267461
0.53382,0.238844
0.53869,0.208492
0.5484,0.167733
0.56169,0.139108
0.57737,0.120887
0.59667,0.102662
0.62076,0.087901
0.64605,0.080943
0.67011,0.081789
0.69777,0.09217
0.72302,0.104286
0.73863,0.119013
0.74704,0.125942
0.77108,0.141528
0.82274,0.182235
0.83836,0.193493
0.85397,0.209953
0.86957,0.231616
0.89719,0.260205
0.92001,0.284462
0.93323,0.291387
0.94045,0.293115
0.95248,0.291371
0.95972,0.282694
0.96696,0.274884
0.97539,0.269675
0.98018,0.281809
0.98496,0.30088
0.99091,0.33469
0.99563,0.377171
