x,Curve1
0.00706,0.035191
0.03561,0.030704
0.07754,0.029561
0.1373,0.028406
0.1703,0.031738
0.18545,0.033963
0.21759,0.024446
0.23007,0.026114
0.24252,0.043425
0.2576,0.082522
0.26905,0.143967
0.27519,0.193125
0.28222,0.23949
0.28749,0.275241
0.29545,0.308755
0.30966,0.335003
0.32657,0.349518
0.33727,0.355098
0.35245,0.347826
0.36318,0.335529
0.37391,0.320997
0.38645,0.297525
0.39364,0.272381
0.40354,0.233269
0.41254,0.200861
0.41974,0.169572
0.42875,0.13046
0.43955,0.087437
0.44942,0.061732
0.46015,0.049994
0.49941,0.042148
0.54312,0.041562
0.58324,0.048241
0.62425,0.059948
0.66347,0.072773
0.70267,0.091184
0.73564,0.104571
0.77751,0.130244
0.79443,0.141406
0.82292,0.164294
0.86122,0.192762
0.89775,0.210616
